f2,b2,v2,x2,y2,r2,theta2,x8,y8,r8, theta8 
92.16,-1.11,0.1,4.616569,-0.001570137,0.04623888,0.2534224,0.0541918,0.000770573,0.0541995,0.816
92.16,-1.21,0.1,4.616569,0.005738174,0.04616613,0.1621751,0.054188,0.000740055,0.0541918,0.786
92.16,-1.31,0.1,4.62388,-0.001570137,0.04601954,0.1619182,0.054188,0.000823978,0.0541956,0.876
92.16,-1.41,0.1,4.609257,0.0203548,0.0460926,0.07121587,0.054188,0.000793461,0.0541956,0.84
92.16,-1.52,0.1,4.594634,0.005738174,0.04594766,359.8896,0.0541842,0.00100327,0.0541918,1.062
92.16,-1.62,0.1,4.609257,0.0203548,0.04601946,0.34332,0.0541842,0.00080109,0.054188,0.852
92.16,-1.72,0.1,4.616569,-0.001570137,0.04609285,0.5263821,0.0541842,0.00080872,0.054188,0.858
92.16,-1.82,0.1,4.609257,0.01304649,0.04609265,0.2530204,0.0541918,0.00080872,0.0541995,0.858
92.16,-1.92,0.1,4.609257,0.01304649,0.0460926,0.1626912,0.0541918,0.000858311,0.0541995,0.912
92.16,-2.02,0.1,4.609257,-0.008878449,0.04587406,359.9805,0.054188,0.00080109,0.0541918,0.852
92.16,-2.12,0.1,4.601945,0.0203548,0.04616587,359.9805,0.0541842,0.000782017,0.054188,0.828
92.16,-2.22,0.1,4.616569,-0.001570137,0.04601946,359.9805,0.054188,0.000782017,0.0541956,0.828
92.16,-2.32,0.1,4.601945,-0.001570137,0.04609265,359.9805,0.054188,0.000762943,0.0541956,0.81
92.16,-2.42,0.1,4.587322,-0.008878449,0.04601964,0.07132883,0.054188,0.000823978,0.0541918,0.876
92.16,-2.53,0.1,4.601945,0.005738174,0.04594679,0.1624327,0.054188,0.000965122,0.0541956,1.02
92.16,-2.63,0.1,4.594634,-0.001570137,0.04602078,359.8895,0.054188,0.000816349,0.0541918,0.87
92.16,-2.73,0.1,4.616569,0.005738174,0.04601949,0.3444109,0.0541804,0.000843052,0.054188,0.894
92.16,-2.83,0.1,4.609257,0.005738174,0.04602028,0.07132883,0.0541842,0.000804905,0.054188,0.852
92.16,-2.93,0.1,4.609257,0.0203548,0.04601946,0.1624327,0.0541842,0.000789646,0.054188,0.84
92.16,-3.03,0.1,4.609257,0.005738174,0.0462388,0.3444109,0.0541804,0.000835422,0.054188,0.888
92.16,-3.13,0.1,4.609257,0.0203548,0.04616613,0.07144216,0.0541842,0.000797275,0.054188,0.846
92.16,-3.23,0.1,4.62388,0.0203548,0.04609275,0.4353976,0.0541842,0.000797275,0.054188,0.846
92.16,-3.33,0.1,4.601945,0.02766311,0.04609302,359.9805,0.054188,0.000812534,0.0541918,0.858
92.16,-3.43,0.1,4.601945,-0.008878449,0.04587517,0.2534224,0.054188,0.000835422,0.0541918,0.888
92.16,-3.54,0.1,4.609257,0.01304649,0.04616577,359.9805,0.0541804,0.00100709,0.054188,1.068
92.16,-3.64,0.1,4.601945,0.005738174,0.04616577,0.1619182,0.0541804,0.000843052,0.054188,0.894
92.16,-3.74,0.1,4.616569,-0.001570137,0.04594642,359.9805,0.0541804,0.000774387,0.054188,0.822
92.16,-3.84,0.1,4.609257,-0.001570137,0.04601949,359.9805,0.0541842,0.000862125,0.054188,0.912
92.16,-3.94,0.1,4.601945,-0.01618676,0.04601974,0.1624327,0.0541766,0.000835422,0.0541842,0.888
92.16,-4.04,0.1,4.616569,0.01304649,0.04616572,0.3438646,0.0541804,0.000835422,0.054188,0.888
92.16,-4.14,0.1,4.601945,-0.008878449,0.04609285,359.9805,0.054188,0.000789646,0.0541918,0.84
92.16,-4.24,0.1,4.601945,-0.001570137,0.04587368,359.9804,0.0541842,0.000789646,0.054188,0.834
92.16,-4.34,0.1,4.601945,0.005738174,0.04616587,0.2538257,0.0541842,0.000835422,0.054188,0.888
92.16,-4.44,0.1,4.609257,-0.001570137,0.0460934,359.8898,0.0541842,0.000774387,0.054188,0.822
92.16,-4.55,0.1,4.594634,0.0203548,0.04594637,359.8898,0.0541766,0.000980385,0.054188,1.038
92.16,-4.65,0.1,4.601945,-0.008878449,0.04602028,0.07166989,0.0541804,0.00074387,0.054188,0.792
92.16,-4.75,0.1,4.609257,-0.001570137,0.04609265,359.9805,0.0541804,0.000778202,0.054188,0.822
