t,i,x,y,r,theta,xK,tc, therm
1708976435.8456516, -3.2, -1.181517e-06, -4.542001e-08, 1.379025e-06, 180.367, 0, 0, 0
1708976442.1620288, 3.2, -1.408176e-06, -5.272832e-08, 1.37913e-06, 180.3689, 0, 0, 0
1708976448.5079901, -3.2, -1.452046e-06, -4.542001e-08, 1.393893e-06, 180.6726, 0, 0, 0
1708976454.8823395, 3.2, -1.342372e-06, -6.734494e-08, 1.371964e-06, 180.6726, 0, 0, 0
1708976461.2353134, -3.2, -1.203452e-06, -5.272832e-08, 1.364839e-06, 180.6726, 0, 0, 0
1708976467.6037993, 3.2, -1.444734e-06, -1.570137e-09, 1.379025e-06, 180.9762, 0, 0, 0
1708976473.976796, -3.2, -1.525161e-06, -2.349507e-08, 1.386584e-06, 181.2797, 0, 0, 0
1708976480.3398306, 3.2, -1.225387e-06, 1.304649e-08, 1.356996e-06, 180.6834, 0, 0, 0
1708976486.7007575, -3.2, -1.342372e-06, 3.497142e-08, 1.349713e-06, 180.3709, 0, 0, 0
1708976493.0696397, 3.2, -1.576342e-06, -4.542001e-08, 1.386765e-06, 180.9866, 0, 0, 0
1708976499.4589942, -3.2, -1.247321e-06, -3.811169e-08, 1.342577e-06, 180.9973, 0, 0, 0
1708976505.8798099, 3.2, -1.452046e-06, -3.811169e-08, 1.349888e-06, 180.381, 0, 0, 0
1708976512.2851293, -3.2, -1.503227e-06, -2.349507e-08, 1.357091e-06, 180.3729, 0, 0, 0
1708976518.6846333, 3.2, -1.33506e-06, -6.003663e-08, 1.320796e-06, 181.0138, 0, 0, 0
1708976525.106351, -3.2, -1.188829e-06, -3.811169e-08, 1.313225e-06, 181.0082, 0, 0, 0
1708976531.491544, 3.2, -1.218075e-06, -1.570137e-09, 1.305914e-06, 181.3364, 0, 0, 0
1708976537.9036427, -3.2, -1.364307e-06, -6.003663e-08, 1.335416e-06, 181.0138, 0, 0, 0
1708976544.3369744, 3.2, -1.137647e-06, -1.570137e-09, 1.291221e-06, 181.0194, 0, 0, 0
1708976550.7411008, -3.2, -1.232698e-06, 2.766311e-08, 1.320438e-06, 180.381, 0, 0, 0
1708976557.1464682, 3.2, -1.437422e-06, 2.03548e-08, 1.327847e-06, 180.7023, 0, 0, 0
1708976563.535123, -3.2, -1.261944e-06, -3.811169e-08, 1.335416e-06, 181.3146, 0, 0, 0
1708976569.9602284, 3.2, -1.459357e-06, -1.618676e-08, 1.342469e-06, 180.6947, 0, 0, 0
1708976576.434881, -3.2, -1.232698e-06, -8.878449e-09, 1.342401e-06, 180.6871, 0, 0, 0
1708976582.9654436, 3.2, -1.261944e-06, 2.03548e-08, 1.349713e-06, 180.6871, 0, 0, 0
1708976589.4302778, -3.2, -1.33506e-06, -6.003663e-08, 1.342577e-06, 181.2934, 0, 0, 0
1708976595.853558, 3.2, -1.569031e-06, -8.878449e-09, 1.357091e-06, 180.6947, 0, 0, 0
1708976602.2541573, -3.2, -1.232698e-06, -5.272832e-08, 1.327847e-06, 180.6947, 0, 0, 0
1708976608.6971047, 3.2, -1.144959e-06, -1.570137e-09, 1.342469e-06, 180.3749, 0, 0, 0
1708976615.1231709, -3.2, -1.166894e-06, -1.570137e-09, 1.364403e-06, 180.3709, 0, 0, 0
1708976621.5675693, 3.2, -1.342372e-06, -6.734494e-08, 1.364509e-06, 180.6798, 0, 0, 0
1708976627.9862046, -3.2, -1.590966e-06, -2.349507e-08, 1.386336e-06, 180.6726, 0, 0, 0
1708976634.48176, 3.2, -1.218075e-06, 5.738173e-09, 1.371714e-06, 180.3689, 0, 0, 0
1708976640.9070845, -3.2, -1.269256e-06, -5.272832e-08, 1.38644e-06, 180.367, 0, 0, 0
1708976647.3757687, 3.2, -1.430111e-06, 2.03548e-08, 1.378942e-06, 180.3709, 0, 0, 0
1708976653.844295, -3.2, -1.24001e-06, 2.03548e-08, 1.378958e-06, 180.669, 0, 0, 0
1708976660.280104, 3.2, -1.298502e-06, 2.03548e-08, 1.393647e-06, 180.6655, 0, 0, 0
1708976666.7487638, -3.2, -1.386241e-06, 2.03548e-08, 1.379025e-06, 180.9762, 0, 0, 0
1708976673.2342205, 3.2, -1.408176e-06, 5.738173e-09, 1.378942e-06, 180.6761, 0, 0, 0
1708976679.6828246, -3.2, -1.356995e-06, -3.811169e-08, 1.379025e-06, 180.6726, 0, 0, 0
1708976686.1584718, 3.2, -1.393553e-06, 5.738173e-09, 1.371647e-06, 180.3689, 0, 0, 0
1708976692.6271293, -3.2, -1.561719e-06, -3.811169e-08, 1.386336e-06, 180.367, 0, 0, 0
1708976699.0760658, 3.2, -1.174205e-06, -3.080338e-08, 1.357091e-06, 180.6726, 0, 0, 0
1708976705.5013788, -3.2, -1.166894e-06, -3.811169e-08, 1.371714e-06, 180.367, 0, 0, 0
1708976711.956741, 3.2, -1.247321e-06, 2.766311e-08, 1.364308e-06, 180.3689, 0, 0, 0
1708976718.4355528, -3.2, -1.408176e-06, -6.734494e-08, 1.37913e-06, 180.9762, 0, 0, 0
1708976724.924349, 3.2, -1.19614e-06, -8.878449e-09, 1.364403e-06, 180.3689, 0, 0, 0
1708976731.4229527, -3.2, -1.532473e-06, -3.080338e-08, 1.393647e-06, 180.662, 0, 0, 0
1708976737.898419, 3.2, -1.415488e-06, -4.542001e-08, 1.393647e-06, 180.3651, 0, 0, 0
1708976744.3738127, -3.2, -1.510538e-06, -1.570137e-09, 1.386336e-06, 180.367, 0, 0, 0
1708976750.8633943, 3.2, -1.539785e-06, 2.766311e-08, 1.386253e-06, 180.3709, 0, 0, 0
1708976757.3513706, -3.2, -1.327749e-06, 3.497142e-08, 1.378931e-06, 180.0656, 0, 0, 0
1708976763.8466372, 3.2, -1.408176e-06, 3.497142e-08, 1.386242e-06, 180.0653, 0, 0, 0
1708976770.3156126, -3.2, -1.525161e-06, -2.349507e-08, 1.393751e-06, 180.3689, 0, 0, 0
1708976776.8176427, 3.2, -1.327749e-06, -3.811169e-08, 1.379025e-06, 180.669, 0, 0, 0
1708976783.3029985, -3.2, -1.349683e-06, 5.738173e-09, 1.378931e-06, 180.6655, 0, 0, 0
1708976789.8082519, 3.2, -1.166894e-06, -1.618676e-08, 1.364403e-06, 180.6761, 0, 0, 0
1708976796.293776, -3.2, -1.532473e-06, 5.738173e-09, 1.38627e-06, 180.669, 0, 0, 0
1708976802.806075, 3.2, -1.327749e-06, -4.542001e-08, 1.371819e-06, 180.6655, 0, 0, 0
1708976809.3213167, -3.2, -1.386241e-06, -4.542001e-08, 1.386336e-06, 180.6726, 0, 0, 0
1708976815.8267562, 3.2, -1.276568e-06, -1.618676e-08, 1.378958e-06, 180.6655, 0, 0, 0
1708976822.3785667, -3.2, -1.481292e-06, 2.766311e-08, 1.38627e-06, 180.6726, 0, 0, 0
1708976828.9042652, 3.2, -1.218075e-06, -1.618676e-08, 1.371647e-06, 180.3689, 0, 0, 0
1708976835.4430218, -3.2, -1.495915e-06, 5.738173e-09, 1.386253e-06, 180.367, 0, 0, 0
1708976841.968017, 3.2, -1.6129e-06, -1.618676e-08, 1.400958e-06, 180.9659, 0, 0, 0
1708976848.4772139, -3.2, -1.466669e-06, -6.003663e-08, 1.393751e-06, 180.9659, 0, 0, 0
1708976854.9859724, 3.2, -1.225387e-06, -2.349507e-08, 1.379025e-06, 180.6726, 0, 0, 0
1708976861.5211375, -3.2, -1.291191e-06, -3.811169e-08, 1.38644e-06, 180.367, 0, 0, 0
1708976868.0434842, 3.2, -1.590966e-06, -1.570137e-09, 1.408177e-06, 180.3651, 0, 0, 0
1708976874.5887687, -3.2, -1.225387e-06, -1.618676e-08, 1.371714e-06, 180.669, 0, 0, 0
1708976881.1442, 3.2, -1.430111e-06, 5.738173e-09, 1.393581e-06, 180.0649, 0, 0, 0
1708976887.6666, -3.2, -1.605589e-06, -2.349507e-08, 1.41558e-06, 180.9762, 0, 0, 0
1708976894.1817195, 3.2, -1.481292e-06, -5.272832e-08, 1.379274e-06, 180.367, 0, 0, 0
1708976900.7470138, -3.2, -1.400864e-06, 1.304649e-08, 1.378931e-06, 180.669, 0, 0, 0
1708976907.2591336, 3.2, -1.47398e-06, -7.465325e-08, 1.386584e-06, 180.9762, 0, 0, 0
1708976913.8145206, -3.2, -1.495915e-06, 1.304649e-08, 1.393647e-06, 180.367, 0, 0, 0
1708976920.3898575, 3.2, -1.327749e-06, 5.738173e-09, 1.364308e-06, 180.6798, 0, 0, 0
1708976926.952044, -3.2, -1.371618e-06, -6.734494e-08, 1.379025e-06, 180.669, 0, 0, 0
1708976933.527538, 3.2, -1.539785e-06, -1.618676e-08, 1.393581e-06, 180.9762, 0, 0, 0
1708976940.0994506, -3.2, -1.452046e-06, 4.958804e-08, 1.386242e-06, 180.0646, 0, 0, 0
1708976946.685145, 3.2, -1.47398e-06, 2.03548e-08, 1.38627e-06, 180.0656, 0, 0, 0
1708976953.3120263, -3.2, -1.181517e-06, -3.080338e-08, 1.371819e-06, 180.971, 0, 0, 0
1708976959.912304, 3.2, -1.232698e-06, -1.570137e-09, 1.379025e-06, 180.3689, 0, 0, 0
1708976966.5309663, -3.2, -1.452046e-06, -7.465325e-08, 1.393751e-06, 180.9609, 0, 0, 0
1708976973.1163855, 3.2, -1.24001e-06, -1.618676e-08, 1.379025e-06, 180.0646, 0, 0, 0
1708976979.741313, -3.2, -1.627523e-06, -8.878449e-09, 1.408177e-06, 180.3631, 0, 0, 0
1708976986.4095902, 3.2, -1.386241e-06, -3.811169e-08, 1.401062e-06, 180.6655, 0, 0, 0
1708976993.0249176, -3.2, -1.218075e-06, -1.570137e-09, 1.386336e-06, 180.9659, 0, 0, 0
1708976999.630338, 3.2, -1.371618e-06, -3.080338e-08, 1.393581e-06, 180.3651, 0, 0, 0
1708977006.2856722, -3.2, -1.459357e-06, -4.542001e-08, 1.401383e-06, 180.3631, 0, 0, 0
1708977012.8844833, 3.2, -1.583654e-06, 5.738173e-09, 1.408204e-06, 180.3631, 0, 0, 0
1708977019.4931579, -3.2, -1.254633e-06, -2.349507e-08, 1.38627e-06, 180.662, 0, 0, 0
1708977026.138477, 3.2, -1.539785e-06, -8.878449e-09, 1.400893e-06, 180.662, 0, 0, 0
1708977032.760622, -3.2, -1.276568e-06, -3.080338e-08, 1.37913e-06, 180.9609, 0, 0, 0
1708977039.4026198, 3.2, -1.291191e-06, -3.811169e-08, 1.379025e-06, 180.9609, 0, 0, 0
1708977046.0513587, -3.2, -1.386241e-06, -6.734494e-08, 1.393893e-06, 180.662, 0, 0, 0
1708977052.6904185, 3.2, -1.298502e-06, 5.738173e-09, 1.379025e-06, 180.367, 0, 0, 0
1708977059.332285, -3.2, -1.33506e-06, -3.811169e-08, 1.38644e-06, 180.971, 0, 0, 0
1708977065.9711552, 3.2, -1.225387e-06, -3.811169e-08, 1.371819e-06, 180.6726, 0, 0, 0
1708977072.6345732, -3.2, -1.415488e-06, 5.738173e-09, 1.393581e-06, 180.669, 0, 0, 0
