t,i,temp_desired,temp_tc,therm_res,therm_temp
1684263563.658515,32,0.2447710913712242,31.76025,0,0
1684263564.651046,32,0.27817112500000185,31.7295131,0,0
1684263565.6513157,32,0.3043615794703487,31.7025012,0,0
1684263566.6534195,32,0.3233624250000018,31.6818103,0,0
1684263567.6437657,32,0.33204182499999924,31.6707286,0,0
1684263568.6407738,32,0.33912040000000143,31.6628494,0,0
1684263569.6267607,32,0.35248546904011474,31.6506595,0,0
1684263570.6369846,32,0.3728291612212556,31.6318092,0,0
1684263571.633465,32,0.3721652999999998,31.6286296,0,0
1684263572.6189528,32,0.3758931499999978,31.6250114,0,0
1684263573.618243,32,0.3824248499999996,31.6190624,0,0
1684263574.6030376,32,0.38169117458679575,31.6184635,0,0
1684263575.5753148,32,0.3601983390094729,31.6354255,0,0
1684263576.5730422,32,0.3479853750000004,31.6486968,0,0
1684263577.5698693,32,0.34747657500000173,31.6517581,0,0
1684263578.5677547,32,0.3309111499999995,31.6656227,0,0
1684263579.5745308,32,0.31489336063103784,31.6812591,0,0
1684263580.5527053,32,0.31744683028447485,31.682291,0,0
1684263581.5637805,32,0.29217034166756617,31.7026557,0,0
1684263582.5638978,32,0.2697225724400258,31.7248229,0,0
1684263583.557566,32,0.2598395999999994,31.7370929,0,0
1684263584.5607834,32,0.26043145020334124,31.739067,0,0
1684263585.5442843,32,0.22859387499999873,31.7649383,0,0
1684263586.59449,32,0.23459864498565647,31.7653121,0,0
1684263587.5839677,32,0.20600957005273754,31.7881851,0,0
1684263588.5936031,32,0.1840999339883368,31.8104228,0,0
1684263589.597881,32,0.20179607500000163,31.8006477,0,0
1684263590.5723832,32,0.18905634169255542,31.8088321,0,0
1684263591.5623777,32,0.17232565000000033,31.8239059,0,0
1684263592.5513902,32,0.1731209626017295,31.8262767,0,0
1684263593.5499513,32,0.1668662999999988,31.8317623,0,0
1684263594.5613165,32,0.1661754499999999,31.8334121,0,0
1684263595.5616934,32,0.1825259179139164,31.8206214,0,0
1684263596.56159,32,0.1761884750000009,31.8231735,0,0
1684263597.5503914,32,0.1760300432927114,31.8238086,0,0
1684263598.5499754,32,0.19187214999999824,31.811264,0,0
1684263599.5309627,32,0.17992349137032324,31.8182926,0,0
1684263600.5459003,32,0.20552790000000076,31.7992362,0,0
1684263601.5336862,32,0.22062167499999852,31.7833499,0,0
1684263602.519928,32,0.232336447153919,31.7708415,0,0
1684263603.580945,32,0.24466276961406985,31.7582893,0,0
1684263604.587375,32,0.26254630936096446,31.7415714,0,0
1684263605.6458364,32,0.2744842555030591,31.7285728,0,0
1684263606.640061,32,0.27916277479647655,31.7224044,0,0
1684263607.6394324,32,0.28251002233515815,31.7184848,0,0
1684263608.6295166,32,0.29572802073120463,31.7071514,0,0
1684263609.6288168,32,0.30003813425220655,31.7013816,0,0
1684263610.6265337,32,0.30361802500000046,31.6973819,0,0
1684263611.618715,32,0.3094446030485377,31.6919384,0,0
1684263612.618443,32,0.30827622500000196,31.6917667,0,0
1684263613.5950196,32,0.3064274463413523,31.6932067,0,0
1684263614.5808809,32,0.2938674263968294,31.703516,0,0
1684263615.5881326,32,0.2965674999999983,31.7034492,0,0
1684263616.5936217,32,0.29377191280770226,31.7056789,0,0
1684263617.6005278,32,0.30247259999999887,31.6991577,0,0
1684263618.6038604,32,0.2884183000000018,31.7090969,0,0
1684263619.590635,32,0.2670149401031691,31.7281494,0,0
1684263620.6102839,32,0.2751644014780495,31.7254905,0,0
1684263621.6135042,32,0.2643277946856199,31.7336616,0,0
1684263622.6342504,32,0.26183702500000194,31.7372627,0,0
1684263623.6369565,32,0.24863673288058682,31.7486114,0,0
1684263624.6240597,32,0.2353324715731723,31.7614173,0,0
1684263625.6324027,32,0.23973182500000245,31.760498,0,0
1684263626.642965,32,0.23292875000000013,31.7657566,0,0
1684263627.654062,32,0.2238492839960386,31.7741222,0,0
1684263628.6863253,32,0.21304596403973494,31.7844181,0,0
1684263629.684932,32,0.2135903175196172,31.7860164,0,0
1684263630.6966972,32,0.22258334999999896,31.7791366,0,0
1684263631.696743,32,0.23109606910533223,31.770977,0,0
1684263632.696528,32,0.2359724179136188,31.7653999,0,0
1684263633.6878197,32,0.22588834999999818,31.7723693,0,0
1684263634.693963,32,0.22623119999999997,31.7734889,0,0
1684263635.6872556,32,0.23032097499999793,31.770441,0,0
1684263636.6734877,32,0.2229261245937297,31.7757301,0,0
1684263637.6695716,32,0.21841085939070495,31.7804031,0,0
1684263638.6734145,32,0.22398277339890488,31.776884,0,0
1684263639.6749084,32,0.2340283749999994,31.7681541,0,0
1684263640.6533072,32,0.22827066903543886,31.7710056,0,0
1684263641.6822894,32,0.22624304558678918,31.77322,0,0
1684263642.67765,32,0.23700790365817384,31.7650642,0,0
1684263643.6844246,32,0.24244117499999973,31.7590599,0,0
1684263644.681294,32,0.2376714749999982,31.7616748,0,0
1684263645.6686451,32,0.25598719999999897,31.7475452,0,0
1684263646.6506593,32,0.24526371472061967,31.7532806,0,0
1684263647.6595123,32,0.24457858556918008,31.7549877,0,0
1684263648.658367,32,0.26759071220547664,31.7368679,0,0
1684263649.654137,32,0.256277599999998,31.7423515,0,0
1684263650.6563597,32,0.2589526250000018,31.7413082,0,0
1684263651.6379511,32,0.2671497162598638,31.7345638,0,0
1684263652.6232052,32,0.2792085187820969,31.7235794,0,0
1684263653.6137679,32,0.28466210640517453,31.7170295,0,0
1684263654.6102173,32,0.27224451437069186,31.7256374,0,0
1684263655.6036658,32,0.27515172499999796,31.7250061,0,0
1684263656.6232514,32,0.2851672749999983,31.7168674,0,0
1684263657.6097848,32,0.2823338499999988,31.7175064,0,0
1684263658.603115,32,0.27264605426769656,31.7253589,0,0
1684263659.6028888,32,0.2711649749999987,31.7281398,0,0
1684263660.6463003,32,0.26475766943681783,31.7338733,0,0
1684263661.675391,32,0.24829595033933866,31.7482242,0,0
1684263662.6727211,32,0.2532230499999981,31.7470664,0,0
1684263663.687415,32,0.24326290511778856,31.7548274,0,0
1684263664.6817243,32,0.23359735000000015,31.7640876,0,0
1684263665.6761656,32,0.24868292052800653,31.7539043,0,0
1684263666.6735716,32,0.2443552000000011,31.7552967,0,0
1684263667.6655924,32,0.2556849250000006,31.7465114,0,0
1684263668.6511593,32,0.2298612601653222,31.7652931,0,0
1684263669.650794,32,0.23718890000000048,31.7633075,0,0
1684263670.6548939,32,0.23336649999999892,31.7659683,0,0
1684263671.6637683,32,0.23481360452758457,31.7653408,0,0
1684263672.6691353,32,0.23803955418710432,31.7626285,0,0
1684263673.646687,32,0.2459136878174874,31.7558155,0,0
1684263674.6500828,32,0.23671453617912333,31.7617721,0,0
1684263675.641973,32,0.24805790000000005,31.7539081,0,0
1684263676.6396751,32,0.24195527500000225,31.7572174,0,0
1684263677.6400394,32,0.23928747500000025,31.7600135,0,0
1684263678.6394637,32,0.23343147106581466,31.7652416,0,0
1684263679.6328764,32,0.2334876500000007,31.7662582,0,0
1684263680.624804,32,0.24319992499999987,31.7586917,0,0
1684263681.6364567,32,0.24473904999999974,31.7559471,0,0
1684263682.648075,32,0.25024465000000173,31.7509937,0,0
1684263683.6369889,32,0.2374486866997989,31.7602672,0,0
1684263684.6280432,32,0.22670662182706094,31.7706565,0,0
1684263685.6280627,32,0.240184375000001,31.7619838,0,0
1684263686.631316,32,0.2348714499999991,31.7644996,0,0
1684263687.6334555,32,0.24236202500000026,31.7590103,0,0
1684263688.6298833,32,0.24052719999999983,31.7593803,0,0
1684263689.6371214,32,0.24240069999999836,31.7579555,0,0
1684263690.6308439,32,0.23961500000000235,31.7598991,0,0
1684263691.6251428,32,0.253233025000001,31.7493934,0,0
1684263692.6359825,32,0.2490614305419117,31.7506332,0,0
1684263693.6457057,32,0.24409542499999848,31.7548503,0,0
1684263694.6415281,32,0.24051957499999865,31.7585544,0,0
1684263695.6326966,32,0.24598450710672268,31.7549343,0,0
1684263696.6245522,32,0.24318945000000003,31.7564353,0,0
1684263697.6255043,32,0.23197982499999892,31.7657032,0,0
1684263698.6287131,32,0.2367859249999995,31.7637119,0,0
1684263699.62634,32,0.24398184999999906,31.7575569,0,0
1684263700.6320076,32,0.23282286847315223,31.7652759,0,0
1684263701.6252673,32,0.23818409752319095,31.7625255,0,0
1684263702.638134,32,0.24178575334660055,31.7590656,0,0
1684263703.646356,32,0.25516396748732284,31.7476482,0,0
1684263704.648533,32,0.23586755000000004,31.7608356,0,0
1684263705.6593702,32,0.27132316752075775,31.7350273,0,0
1684263706.6436841,32,0.25868908170753746,31.7400379,0,0
1684263707.6188643,32,0.2753558421323925,31.7277603,0,0
1684263708.623067,32,0.26373638658566717,31.7345409,0,0
1684263709.6247258,32,0.27734728858307117,31.7250003,0,0
1684263710.6400738,32,0.26588098177362995,31.7323169,0,0
1684263711.636508,32,0.26548009999999866,31.7340793,0,0
1684263712.6324568,32,0.2699685599586846,31.7308616,0,0
1684263713.6820037,32,0.2722981951036245,31.7283039,0,0
1684263714.6817653,32,0.2770582250000011,31.7240142,0,0
1684263715.6981943,32,0.27816989921267005,31.7222614,0,0
1684263716.6920538,32,0.2710557250000001,31.7276077,0,0
1684263717.6930382,32,0.2606382999999983,31.7370109,0,0
1684263718.6969748,32,0.2685108500000002,31.7325935,0,0
1684263719.6891112,32,0.2587376250000002,31.7395286,0,0
1684263720.6888115,32,0.26898052499999814,31.7327213,0,0
1684263721.69603,32,0.2508755750000011,31.7458438,0,0
