t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681588527.7186763, -3.2, 2.954228e-06, -1.696613e-06, 3.990864e-06, 332.952, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588534.2249475, 3.2, -3.114386e-06, -1.769696e-06, 3.393092e-06, 211.8341, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588540.7039652, -3.2, 3.539154e-06, -1.915862e-06, 4.123692e-06, 337.1379, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588547.183775, 3.2, -2.383228e-06, -1.696613e-06, 2.57566e-06, 223.3998, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588553.68298, -3.2, 4.270313e-06, -1.769696e-06, 4.595005e-06, 334.3152, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166627, 0.419191, 0.966
1681588560.1886873, 3.2, -2.090764e-06, -1.769696e-06, 2.807605e-06, 216.8777, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588566.6959288, -3.2, 2.588649e-06, -1.769696e-06, 3.237411e-06, 326.7247, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588573.2009757, 3.2, -3.04127e-06, -1.696613e-06, 3.805932e-06, 210.0334, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588579.7186718, -3.2, 2.442417e-06, -1.842779e-06, 2.914118e-06, 326.3817, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588586.2025018, 3.2, 2.959457e-08, -1.842779e-06, 1.887644e-06, 270.9581, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588592.6810324, -3.2, 2.661765e-06, -1.696613e-06, 3.569968e-06, 327.3967, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166627, 0.419252, 0.966
1681588599.1732533, 3.2, -3.40685e-06, -1.842779e-06, 3.937765e-06, 204.6376, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166017, 0.419252, 0.966
1681588605.6596863, -3.2, 1.930606e-06, -1.842779e-06, 2.411501e-06, 315.2366, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166627, 0.419191, 0.966
